coverage_stratum,ticker,company,cik,fiscal_year,peo_name,incentive_target_payout_pct,payout_metric_type,time_vested_retention_flag,retention_amt_usd,target_summary,featured_metric_period,featured_value_basis,source_locator,source_accession,source_form,source_document,source_filed,verification_status,verification_note
S&P 100 Layer A,CRM,Salesforce,0001108524,2026,Marc Benioff,103.3,annual_cash_bonus_actual,FALSE,,"Company performance funded at 103.3% and the committee applied a 100% individual multiplier, producing a 103.3% payout for each named executive officer.",FY2026,reported,"CD&A, Fiscal 2026 Annual Performance Bonus Payouts, p. 53",0001108524-26-000085,DEF 14A,crm-20260416.htm,2026-04-16,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,GE,GENERAL ELECTRIC CO,0000040545,2025,H. Lawrence Culp,188,annual_cash_bonus_actual,FALSE,,Total-company financial performance produced 198% formulaic funding. An internal reallocation to the commercial engines business reduced the final payout for Larry Culp and other corporate executives to 188% of target.,FY2025,reported,"CD&A, Annual Executive Incentive Plan, p. 32",0000040545-26-000018,DEF 14A,ge-20260312.htm,2026-03-12,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,GOOGL,Alphabet,0001652044,2025,Sundar Pichai,200,LTI_PSU_actual,FALSE,,Alphabet ranked at the 92.86th percentile of the S&P 100 for 2023-2025 TSR; Sundar Pichai earned 200% of his target PSU award.,2023-2025,reported,"CD&A, Certification of PSUs, p. 48",0001308179-26-000342,DEF 14A,goog-20260424.htm,2026-04-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,GS,Goldman Sachs,0000886982,2025,Mr. Solomon,,retention_RSU_grant,TRUE,80000000,"David Solomon received 130,508 retention RSUs with an $80 million grant-date value and five-year cliff vesting. The award was outside annual compensation.",2025-2030 service period,reported,"CD&A, Retention RSUs, pp. 51-52",0001193125-26-117433,DEF 14A,gs-20260319.htm,2026-03-20,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,IBM,IBM,0000051143,2025,Mr. Krishna,150,annual_cash_bonus_actual,FALSE,,"The Board approved a $5.25 million annual incentive payment for Arvind Krishna, equal to 150% of target.",FY2025,reported,"CD&A, Annual Incentive Program",0000051143-26-000025,DEF 14A,ibm-20260306.htm,2026-03-10,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,INTC,Intel,0000050863,2025,Lip-Bu Tan,118.7,annual_cash_bonus_actual,FALSE,,"The formulaic CEO result was 123.4%; the committee, with Lip-Bu Tan's agreement, reduced it to 118.7% to match the corporate employee payout level.",FY2025,reported,"CD&A, Annual Cash Bonus Plan",0000050863-26-000066,DEFR14A,intc-20260323.htm,2026-03-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,JPM,JPMORGAN CHASE & CO,0000019617,2025,James Dimon,,discretionary_total_incentive,FALSE,,The independent directors assessed James Dimon's performance across four dimensions. His cash incentive was $5 million and his equity incentive consisted entirely of PSUs; no formulaic payout percentage was disclosed.,FY2025,not_applicable,"CD&A, How Performance Determined Pay in 2025",0000019617-26-000096,DEF 14A,jpm-20260402.htm,2026-04-06,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,LLY,ELI LILLY & Co,0000059478,2025,David Ricks,218,annual_cash_bonus_actual,FALSE,,"The bonus plan paid 218% of target after performance on product revenue, adjusted EPS and pipeline milestones.",FY2025,reported,"CD&A, 2025 Incentive Pay Results",0000059478-26-000029,DEF 14A,lly-20260317.htm,2026-03-20,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,META,Meta Platforms,0001326801,2025,Mark Zuckerberg,,founder_no_incentive_award,FALSE,,"Mark Zuckerberg received a $1 salary, did not participate in the bonus plan and received no equity award in 2025.",FY2025,not_applicable,"CD&A, Executive Compensation; Offer Letter",0001628280-26-025532,DEF 14A,meta-20260416.htm,2026-04-16,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,MSFT,MICROSOFT CORP,0000789019,2025,Satya Nadella,103.69,LTI_PSA_component_actual,FALSE,,The year-three core strategic metrics component of Satya Nadella's performance stock award paid 103.69% of target. The annual cash financial component paid 117.00%.,FY2025 year 3,reported,"CD&A, Fiscal 2025 Performance Stock Award Core Metrics",0001193125-25-245150,DEF 14A,d908201ddef14a.htm,2025-10-21,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,NFLX,NETFLIX INC,0001065280,2025,Sarandos/Peters,117.57,annual_cash_bonus_actual,FALSE,,"The annual cash bonus paid approximately 117.57% of target, based on a 138.00% revenue result weighted 35% and a 106.57% operating-margin result weighted 65%.",FY2025,reported,"CD&A, 2025 Annual Performance-Based Cash Bonus Program",0001193125-26-159286,DEF 14A,d20613ddef14a.htm,2026-04-16,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,NOW,ServiceNow,0001373715,2025,Mr. McDermott,119.7,LTI_PRSU_component_payout,FALSE,,"The subscription-revenue component paid 119.7% of target after a reported result of $12.85 billion against a $12.70 billion target. This is a component payout, not a completed award payout.",FY2025 tranche,reported,"CD&A, Fiscal 2026 PRSU Subscription Revenue Component",0001373715-26-000039,DEF 14A,now-20260406.htm,2026-04-06,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,NVDA,NVIDIA CORP,0001045810,2026,Jensen Huang,150,LTI_PSU_actual,FALSE,,Jensen Huang's one-year operating-income PSU and three-year relative-TSR PSU each paid the CEO maximum of 150% of target.,FY2026,reported,"CD&A, Fiscal 2026 Performance Achievement and Payouts",0001045810-26-000036,DEF 14A,nvda-20260512.htm,2026-05-12,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,ORCL,ORACLE CORP,0001341439,2025,Safra Catz,0,annual_cash_bonus_actual,FALSE,,The committee approved no annual cash bonus for Safra Catz or the other senior executive officers while preserving cash for strategic investment.,FY2025,reported,"CD&A, No Payment of Annual Cash Bonuses for Fiscal 2025",0001193125-25-220801,DEF 14A,d72066ddef14a.htm,2025-09-26,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,PLTR,Palantir,0001321655,2025,Dr. Karp,,no_new_CEO_incentive_award,FALSE,,Palantir paid no 2025 service bonus and made no new equity grant to Alex Karp. Outstanding prior equity awards continued to vest. Mention of Palantir is not an allegation of wrongdoing.,FY2025,not_applicable,"CD&A, Elements of Executive Pay and 2025 Compensation",0001321655-26-000019,DEF 14A,pltr-20260423.htm,2026-04-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,TMO,Thermo Fisher Scientific,0000097745,2025,Marc Casper,99.8,annual_cash_bonus_actual,FALSE,,The annual incentive plan performance score and payout for Marc Casper were 99.8% of target.,FY2025,reported,"CD&A, 2025 Annual Incentive Plan",0001193125-26-144585,DEF 14A,d66426ddef14a.htm,2026-04-07,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,TSLA,Tesla,0001318605,2023,Mr. Musk,,equity_milestone_award,FALSE,,The filing's CEO pay structure is the 2018 performance option award tied to market-capitalisation and operating milestones. It does not disclose a comparable 2025 target-payout percentage.,2018 award; PvP through FY2023,not_applicable,"Executive Compensation, 2018 CEO Performance Award",0001104659-25-090866,DEF 14A,tm252289-12_def14a.htm,2025-09-17,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,UNH,UnitedHealth Group,0000731766,2025,Hemsley/Witty (transition),0,LTI_PSU_actual,FALSE,,The 2023-2025 long-term performance share plan paid 0% because adjusted EPS and return-on-equity performance did not meet the payout threshold.,2023-2025,reported,"CD&A, 2023-2025 Long-Term Goals and Context",0001104659-26-046125,DEF 14A,tm261387-6_def14a.htm,2026-04-21,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,WFC,Wells Fargo,0000072971,2025,Charles Scharf,,discretionary_performance_year_award,FALSE,,"Wells Fargo removed pre-set target total compensation for named executive officers in 2025. Charles Scharf's cash and equity awards were set through committee judgement, so no common payout percentage applies.",FY2025,not_applicable,"CD&A, 2025 Compensation Framework",0000072971-26-000200,DEF 14A,wfc-20260318.htm,2026-03-18,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,ABNB,"Airbnb, Inc.",0001559720,2025,Brian Chesky,,CEO_not_bonus_participant,FALSE,,"Brian Chesky received a $1 salary, did not participate in the bonus plan, and earned no new tranche of the 2020 multi-year equity award in 2025.",FY2025,not_applicable,"CD&A, Executive Compensation Highlights, pp. 25-26",0001193125-26-175062,DEF 14A,d936646ddef14a.htm,2026-04-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,ALGN,ALIGN TECHNOLOGY INC,0001097149,2025,Joseph Hogan,58.1,annual_cash_bonus_actual,FALSE,,The cash bonus plan paid Joe Hogan 58.1% of target after below-target constant-currency revenue and adjusted operating-income results.,FY2025,reported,"CD&A, 2025 Executive Compensation Highlights",0001097149-26-000023,DEF 14A,algn-20260407.htm,2026-04-07,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,BAX,BAXTER INTERNATIONAL INC,0000010456,2025,Andrew Hider,54,annual_cash_bonus_actual,FALSE,,"Andrew Hider received a prorated $820,125 annual incentive, equal to 54% of his prorated target.",FY2025,reported,"CD&A, Determination of 2025 Annual Incentive Plan Payouts, p. 56",0001628280-26-020330,DEF 14A,bax-20260320.htm,2026-03-23,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,2025,Mr. Winfrey,94.3,annual_cash_bonus_actual,FALSE,,The committee approved an overall annual incentive payout of 94.30% of target for the named executive officers.,FY2025,reported,"CD&A, Annual Incentive Plan, pp. 32-33",0001140361-26-009220,DEF 14A,ny20062718x1_def14a.htm,2026-03-12,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,COIN,"Coinbase Global, Inc.",0001679788,2025,Mr. Armstrong,,CEO_equity_milestone_award,FALSE,,Brian Armstrong received salary and no 2025 equity grant. The second and third tranches of the 2020 stock-price performance option vested in 2025; no cash target-payout percentage applies.,FY2025,not_applicable,"CD&A, 2020 CEO Performance Award, pp. 28-29",0001679788-26-000045,DEF 14A,coin-20260424.htm,2026-04-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,CRWD,"CrowdStrike Holdings, Inc.",0001535527,2026,George Kurtz,108.8,annual_cash_bonus_actual,FALSE,,"The corporate incentive plan paid George Kurtz 108.8% of target. Quarterly net-retention rates remained within the target range, so no modifier applied.",FY2026,reported,"CD&A, Fiscal 2026 Corporate Incentive Plan, p. 39",0001104659-26-055599,DEF 14A,tm2532333-4_def14a.htm,2026-05-05,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,FLEX,FLEX LTD.,0000866374,2026,Revathi Advaithi,180.68,annual_cash_bonus_actual,FALSE,,Revathi Advaithi's annual incentive paid 180.68% of full-year target after the operating-profit funding factor and individual modifier.,FY2026,reported,"CD&A, Final Incentive Awards for the NEOs, p. 50",0001308179-26-000365,DEF 14A,flex015484-def14a.htm,2026-06-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,HOOD,"Robinhood Markets, Inc.",0001783879,2025,Mr. Tenev,,CEO_not_bonus_participant,FALSE,,"Vlad Tenev received a base salary, did not participate in the annual cash incentive programme and received no new equity grant in 2025.",FY2025,not_applicable,"CD&A, 2025 Executive Compensation Highlights, pp. 73-75",0001783879-26-000053,DEF 14A,hood-20260422.htm,2026-04-22,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,MRNA,"Moderna, Inc.",0001682852,2025,Mr. Bancel,170,annual_cash_bonus_actual,FALSE,,The committee funded the annual bonus pool at 170% of target and applied the same 170% performance factor to Stéphane Bancel.,FY2025,reported,"CD&A, 2025 Annual Bonus Determination, pp. 54-55",0001308179-26-000081,DEF 14A,mrna-20260316.htm,2026-03-16,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,PANW,Palo Alto Networks Inc,0001327567,2025,Nikesh Arora,120,annual_cash_bonus_actual,FALSE,,Revenue and organic operating margin produced a 120% payout. The corporate-responsibility modifier and committee discretion made no adjustment.,FY2025,reported,"CD&A, Fiscal 2025 Cash Incentive Plan, pp. 93-95",0001308179-25-000624,DEF 14A,panw-20251107.htm,2025-11-07,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,PYPL,"PayPal Holdings, Inc.",0001633917,2025,Mr. Chriss,98,departure_AIP_equivalent,FALSE,,"Alex Chriss ceased to be eligible under the regular AIP after notice of termination. His separation terms paid $2.646 million for the earned 2025 AIP equivalent, 98% of the $2.7 million target.",FY2025,derived,"CD&A, Company Performance Score; CEO Departure-Related Compensation",0001193125-26-145721,DEF 14A,d59508ddef14a.htm,2026-04-07,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,SMCI,"Super Micro Computer, Inc.",0001375365,2025,Mr. Liang,,CEO_equity_milestone_award,FALSE,,Charles Liang received a nominal salary and no cash bonus. The 2021 award fully vested and four of five tranches of the 2023 option award had vested by 30 June 2025.,FY2025,not_applicable,"CD&A, 2021 and 2023 CEO Performance Awards",0001375365-26-000008,DEF 14A,smci-20260303.htm,2026-03-03,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,TTD,"Trade Desk, Inc.",0001671933,2025,Jeff Green,103.88,annual_cash_bonus_actual,FALSE,,"Jeff Green earned $2,351,404 under the cash plan plus $453,371 under the supplemental plan. The $2,804,775 total divided by the $2,700,000 target equals 103.88%.",FY2025,derived,"CD&A, Annual Cash Incentive Award Payments, pp. 26-27",0001671933-26-000034,DEF 14A,ttd-20260408.htm,2026-04-09,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,VEEV,VEEVA SYSTEMS INC,0001393052,2026,Mr. Gassner,,CEO_premium_option_award,FALSE,,Peter Gassner did not participate in an annual incentive programme. His five-year premium-priced option grant combined service and stock-price conditions.,FY2026,not_applicable,"CD&A, CEO Equity Compensation, pp. 46-47",0001140361-26-018796,DEF 14A,ny20062821x1_def14a.htm,2026-05-04,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,WBD,"Warner Bros. Discovery, Inc.",0001437107,2025,Mr. Zaslav,200,LTI_supplemental_PRSU_actual,FALSE,,The committee certified David Zaslav's one-year supplemental PRSUs at 200% of target. Seventy per cent was distributed in February 2026 and 30% remains deferred to January 2029 subject to employment.,FY2025,reported,"CD&A, 2025 Supplemental PRSUs",0001437107-26-000046,DEF 14A,wbd-20260429.htm,2026-04-30,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,WDAY,"Workday, Inc.",0001327811,2026,Carl Eschenbach,100,annual_cash_bonus_actual,FALSE,,"The company plan funded at 101.8%, but Carl Eschenbach's separation agreement fixed his total fiscal 2026 cash bonus payout at target achievement, 100%.",FY2026,reported,"CD&A, Full Year Payout; Executive Separation Agreement, pp. 74-75",0001104659-26-055687,DEF 14A,tm261347-2_def14a.htm,2026-05-05,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,WELL,WELLTOWER INC.,0000766704,2025,Shankh Mitra,200,annual_cash_bonus_actual,FALSE,,"Shankh Mitra received a $6.5 million annual incentive, equal to 200% of the $3.25 million target.",FY2025,reported,"CD&A, Legacy Annual Incentive Payments, p. 54",0000766704-26-000014,DEF 14A,well-20260409.htm,2026-04-10,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 500 findings extension,XYZ,"Block, Inc.",0001512673,2025,Jack Dorsey,,CEO_no_incentive_award,FALSE,,Jack Dorsey received no cash or equity incentive compensation and a $2.75 salary. Block did not offer named executive officers a cash incentive opportunity in 2025.,FY2025,not_applicable,"CD&A, Elements of Executive Compensation, pp. 25-28",0001628280-26-027203,DEF 14A,sq-20260423.htm,2026-04-24,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
